date,jour_culture,temperature_air_c,temperature_sol_c,humidite_air_pourcent,humidite_sol_pourcent,ph_sol,lumiere_heures_jour,pluie_mm_24h,arrosage_litres_jour,stade_croissance,hauteur_plant_cm,nb_fleurs,nb_fruits,couleur_feuilles,etat_general,recommandation
2025-06-12,103,19.2,18.0,72.1,80.5,6.04,9.8,1.2,0.86,fructification,125.6,6,4,tachete,stress_leger,trop_eau
2025-07-09,130,19.7,17.0,68.6,31.3,5.64,8.9,0.5,2.88,recolte,129.3,5,39,jaune,stress_leger,arroser
2025-04-25,55,21.9,20.4,71.3,72.5,6.35,9.9,2.5,1.46,croissance,25.9,1,0,vert,bon,bon
2025-03-09,8,26.1,22.3,68.1,30.6,5.84,10.4,4.5,4.82,semis,7.4,0,0,fonce,stress_leger,arroser
2025-04-10,40,24.4,23.4,95.0,76.1,6.55,10.8,0.0,1.24,croissance,34.1,0,0,vert,bon,bon
2025-07-15,136,27.2,26.6,52.4,55.4,6.67,12.0,0.2,1.28,recolte,126.0,2,21,jaune,bon,recolte_bientot
2025-04-05,35,16.8,14.7,79.6,71.9,7.25,10.7,2.2,1.57,croissance,26.4,4,0,vert,stress_leger,bon
2025-04-22,52,31.0,29.8,69.5,44.6,5.79,10.4,2.7,2.24,croissance,73.4,1,0,jaune,stress_leger,arroser
2025-07-13,134,14.6,12.2,79.4,56.9,6.11,9.3,7.1,1.18,recolte,151.8,0,29,vert,stress_leger,recolte_bientot
2025-03-04,3,22.0,19.7,43.8,53.7,6.33,8.4,1.2,1.8,semis,6.2,0,0,jaune,bon,bon
2025-04-22,52,26.1,22.5,53.6,66.9,6.47,10.7,0.0,1.36,croissance,59.9,1,0,vert,bon,bon
2025-05-08,68,20.9,17.9,75.9,50.7,6.68,10.0,5.1,2.5,floraison,69.0,10,0,vert,bon,bon
2025-07-26,147,26.4,25.3,54.2,56.0,6.43,11.2,5.5,2.19,recolte,158.8,1,32,vert,bon,recolte_bientot
2025-04-12,42,26.1,22.2,68.4,79.6,5.7,10.4,0.0,2.74,croissance,74.5,2,0,vert,stress_leger,bon
2025-07-26,147,24.6,23.1,68.8,65.2,6.16,10.5,0.0,2.75,recolte,148.5,2,25,vert,bon,recolte_bientot
2025-06-08,99,21.3,16.4,67.3,59.8,5.83,9.9,4.1,2.3,fructification,101.6,13,21,vert,bon,bon
2025-04-08,38,21.9,20.6,62.9,73.1,7.15,7.3,6.0,1.08,croissance,52.5,3,0,vert,bon,bon
2025-03-18,17,21.9,20.2,74.1,54.8,6.8,6.1,11.8,0.0,jeune_plant,9.3,0,0,vert,bon,bon
2025-05-07,67,23.1,19.2,67.6,65.8,6.06,10.3,13.8,0.0,floraison,68.4,14,1,vert,bon,bon
2025-07-16,137,17.2,17.3,78.6,50.9,6.65,10.5,2.1,1.75,recolte,163.9,0,17,jaune,bon,recolte_bientot
2025-07-23,144,22.3,19.7,93.3,49.9,6.04,9.1,5.5,2.65,recolte,120.0,1,15,vert,bon,bon
2025-06-10,101,29.8,28.0,73.2,40.9,7.69,13.7,3.9,2.94,fructification,116.1,4,19,jaune,stress_leger,sol_pas_adapte
2025-04-28,58,18.1,18.6,60.0,55.2,6.66,6.8,3.2,1.2,croissance,77.5,4,0,vert,bon,bon
2025-05-16,76,16.1,14.4,59.9,47.8,6.85,11.2,1.9,2.12,floraison,62.9,26,0,vert,bon,bon
2025-07-17,138,22.3,23.8,71.1,73.6,6.4,10.1,8.5,1.94,recolte,131.1,3,10,vert,bon,bon
2025-06-10,101,27.7,26.4,47.8,68.9,6.06,8.6,0.1,2.05,fructification,103.6,11,10,vert,bon,bon
2025-06-24,115,18.9,16.4,79.3,81.8,6.68,11.2,1.0,0.94,fructification,132.5,4,19,jaune,stress_leger,trop_eau
2025-06-05,96,24.7,22.4,61.7,76.5,6.91,11.6,0.0,2.76,fructification,115.4,10,24,vert,bon,bon
2025-06-09,100,20.6,17.7,93.7,76.0,5.6,9.1,3.3,2.38,fructification,135.4,10,9,vert,stress_leger,bon
2025-07-21,142,11.5,12.2,60.4,72.1,6.81,12.7,0.0,0.71,recolte,156.1,1,18,tachete,stress_leger,risque_froid
2025-03-06,5,14.1,12.2,80.9,63.6,6.34,10.9,2.7,1.38,semis,6.2,0,0,fonce,stress_leger,risque_froid
2025-05-31,91,18.0,14.3,41.2,53.7,7.22,6.2,4.4,2.56,fructification,132.1,4,15,jaune,stress_leger,manque_lumiere
2025-06-22,113,22.3,19.0,85.4,55.7,6.52,10.8,0.1,2.81,fructification,144.3,5,5,vert,bon,bon
2025-04-17,47,29.3,28.7,95.0,48.5,6.94,10.4,0.0,1.2,croissance,77.3,3,0,vert,bon,bon
2025-07-01,122,21.2,17.2,80.5,32.8,5.54,10.7,3.5,2.49,recolte,172.9,4,15,fonce,stress_leger,arroser
2025-04-17,47,22.7,22.3,60.4,42.5,6.45,13.1,1.4,2.37,croissance,46.6,2,0,vert,bon,bon
2025-06-07,98,23.7,24.6,69.8,62.9,7.3,11.2,1.4,1.1,fructification,94.4,2,21,vert,stress_leger,bon
2025-06-22,113,8.0,10.0,57.2,73.4,6.22,15.0,4.6,2.1,fructification,136.4,8,8,tachete,stress_leger,risque_froid
2025-04-20,50,13.3,13.5,78.3,57.9,6.6,5.7,1.5,2.06,croissance,72.4,4,0,jaune,stress_moyen,manque_lumiere
2025-07-24,145,13.5,11.4,70.8,59.5,5.47,9.8,0.8,0.69,recolte,110.3,6,25,jaune,stress_moyen,sol_pas_adapte
2025-03-09,8,24.8,21.4,80.0,56.5,6.73,10.0,0.8,2.55,semis,4.1,0,0,vert,bon,bon
2025-05-10,70,21.5,17.9,56.7,42.0,7.48,10.1,0.0,2.5,floraison,97.7,19,1,jaune,stress_leger,arroser
2025-05-21,81,26.3,23.3,54.0,68.7,6.23,7.5,2.9,1.42,fructification,112.4,14,16,vert,bon,bon
2025-03-04,3,22.1,21.6,50.4,61.2,7.26,5.1,0.0,1.17,semis,4.3,0,0,jaune,stress_leger,manque_lumiere
2025-05-26,86,18.1,15.6,68.3,73.7,7.03,11.3,0.3,1.84,fructification,121.1,9,10,vert,bon,bon
2025-06-10,101,29.0,25.0,36.3,74.1,6.51,10.3,0.0,0.75,fructification,90.7,8,18,vert,bon,bon
2025-05-02,62,26.0,24.2,91.9,58.9,6.78,11.7,1.9,2.6,floraison,72.3,26,2,vert,bon,bon
2025-07-19,140,23.3,19.9,74.6,35.1,6.47,7.6,0.2,3.01,recolte,110.8,6,19,tachete,stress_leger,recolte_bientot
2025-03-14,13,19.1,17.5,63.9,44.6,7.14,10.9,0.0,2.63,semis,6.5,0,0,vert,bon,bon
2025-07-16,137,19.5,15.6,67.8,65.3,6.77,11.4,5.2,0.97,recolte,118.9,5,35,tachete,bon,recolte_bientot
2025-05-29,89,20.6,20.1,61.2,79.5,6.16,5.5,4.1,1.76,fructification,96.3,2,17,jaune,stress_leger,manque_lumiere
2025-06-13,104,23.2,18.9,37.0,48.5,6.96,12.2,0.0,2.7,fructification,114.7,8,6,vert,bon,bon
2025-04-03,33,22.4,19.6,72.2,65.0,7.02,9.0,0.0,2.62,croissance,32.0,4,0,vert,bon,bon
2025-05-08,68,26.8,26.3,85.8,75.1,5.68,10.6,0.6,2.77,floraison,95.0,12,2,vert,stress_leger,bon
2025-07-19,140,20.7,18.0,74.7,83.5,7.1,11.3,0.2,0.69,recolte,108.3,0,31,jaune,stress_leger,trop_eau
2025-06-10,101,22.3,21.9,39.6,82.9,6.42,9.1,0.0,1.33,fructification,107.9,10,13,jaune,stress_leger,trop_eau
2025-05-31,91,14.5,12.1,48.1,57.8,6.5,7.4,7.4,1.41,fructification,120.6,7,20,fonce,stress_leger,risque_froid
2025-05-24,84,33.4,28.9,66.6,76.9,6.21,8.2,1.5,1.57,fructification,136.0,14,19,fonce,stress_leger,risque_chaleur
2025-03-20,19,28.9,23.0,33.8,41.4,5.91,10.4,0.0,2.65,jeune_plant,24.1,0,0,vert,bon,bon
2025-06-19,110,29.1,27.3,61.1,75.4,5.69,10.7,0.0,1.76,fructification,121.7,10,17,vert,stress_leger,bon
2025-06-01,92,20.2,17.9,77.2,45.9,6.62,10.5,3.3,1.01,fructification,100.5,3,9,vert,bon,bon
2025-05-25,85,13.7,14.3,46.4,47.8,7.16,6.5,0.0,2.06,fructification,108.7,10,4,fonce,stress_leger,risque_froid
2025-05-26,86,20.2,18.6,69.3,60.6,5.83,9.8,2.2,2.35,fructification,128.9,10,9,vert,bon,bon
2025-03-05,4,27.5,27.2,66.8,79.7,6.5,12.7,0.0,1.51,semis,5.0,0,0,vert,bon,bon
2025-05-26,86,23.3,22.8,90.0,75.2,5.58,7.4,0.1,0.92,fructification,131.7,4,23,jaune,stress_leger,manque_lumiere
2025-07-28,149,20.9,20.7,68.5,66.5,6.77,10.3,9.2,0.84,recolte,138.7,1,13,vert,bon,bon
2025-05-21,81,34.8,32.0,82.2,49.5,6.48,13.5,1.7,1.12,fructification,137.3,6,14,fonce,stress_leger,risque_chaleur
2025-06-07,98,20.5,17.5,75.0,75.2,6.07,10.1,4.3,2.1,fructification,133.1,6,24,jaune,bon,bon
2025-05-29,89,28.8,28.3,67.2,54.3,6.55,8.9,2.4,1.68,fructification,101.9,6,9,vert,bon,bon
2025-04-29,59,21.8,20.8,65.4,60.4,6.97,9.0,0.0,1.99,croissance,37.7,3,0,vert,bon,bon
2025-06-17,108,28.7,27.1,95.0,67.3,6.57,13.4,6.3,1.54,fructification,112.3,3,15,vert,bon,bon
2025-07-02,123,19.4,19.5,95.0,54.6,6.28,12.9,4.0,1.1,recolte,108.8,5,33,vert,bon,recolte_bientot
2025-05-08,68,25.3,25.8,71.9,56.3,6.02,9.4,4.8,1.15,floraison,95.3,11,2,vert,bon,bon
2025-05-17,77,21.3,18.3,57.9,69.0,6.44,9.0,0.0,2.89,floraison,109.6,9,0,vert,bon,bon
2025-03-10,9,20.1,16.4,76.9,75.7,6.67,9.2,0.0,1.06,semis,5.2,0,0,vert,bon,bon
2025-06-07,98,10.8,10.0,62.3,33.6,6.47,9.6,4.0,2.84,fructification,97.7,7,10,fonce,stress_moyen,risque_froid
2025-07-25,146,19.4,17.7,64.8,77.8,7.76,8.9,1.3,2.2,recolte,145.3,4,10,tachete,stress_leger,sol_pas_adapte
2025-06-01,92,26.1,24.9,81.0,77.5,7.19,11.3,0.0,2.7,fructification,141.0,4,12,vert,bon,bon
2025-04-09,39,23.8,21.3,65.4,79.2,6.6,10.1,0.9,2.09,croissance,54.7,2,0,vert,bon,bon
2025-05-14,74,27.9,25.6,47.2,54.0,6.89,11.4,0.0,2.43,floraison,116.8,21,1,vert,bon,bon
2025-03-23,22,19.6,17.8,70.5,52.1,6.43,5.9,3.4,1.61,jeune_plant,12.7,0,0,jaune,stress_leger,manque_lumiere
2025-07-20,141,22.4,22.2,56.9,73.2,6.73,11.2,0.0,0.83,recolte,169.4,5,21,vert,bon,recolte_bientot
2025-03-22,21,12.8,10.0,82.5,46.1,6.11,11.3,3.8,1.91,jeune_plant,16.0,0,0,fonce,stress_leger,risque_froid
2025-07-24,145,30.1,24.4,72.7,56.1,7.32,13.0,0.0,1.9,recolte,118.0,3,31,vert,stress_leger,recolte_bientot
2025-06-26,117,14.7,15.7,94.4,54.2,6.66,9.9,3.2,2.39,fructification,146.7,10,10,tachete,stress_leger,risque_froid
2025-04-11,41,22.0,18.2,87.6,73.2,6.39,10.1,2.2,0.72,croissance,44.3,0,0,vert,bon,bon
2025-06-12,103,23.0,19.4,79.8,69.3,6.25,9.1,0.0,2.09,fructification,129.5,7,11,vert,bon,bon
2025-04-11,41,25.5,24.1,78.4,69.5,7.02,8.9,0.0,2.74,croissance,55.1,1,0,vert,bon,bon
2025-07-06,127,30.7,29.0,55.2,52.7,6.34,10.8,1.2,0.96,recolte,163.2,6,28,vert,bon,recolte_bientot
2025-07-25,146,15.4,15.2,57.7,90.0,6.41,8.5,0.0,1.55,recolte,116.3,6,21,tachete,stress_leger,trop_eau
2025-03-25,24,12.7,10.0,41.6,90.0,6.45,13.6,6.9,1.55,jeune_plant,12.7,0,0,tachete,stress_moyen,trop_eau
2025-03-13,12,18.6,13.2,57.7,69.3,6.26,12.8,3.0,1.43,semis,5.1,0,0,vert,bon,bon
2025-04-11,41,24.7,22.2,76.6,20.0,7.07,6.5,0.0,3.17,croissance,78.3,1,0,jaune,stress_leger,arroser
2025-04-15,45,18.2,15.0,62.7,74.9,6.2,6.1,0.5,1.62,croissance,57.3,3,0,vert,bon,bon
2025-03-29,28,20.4,21.5,70.7,66.5,7.02,10.5,0.0,0.78,jeune_plant,12.6,0,0,vert,bon,bon
2025-03-21,20,22.7,20.0,55.6,51.9,7.36,11.5,2.0,2.21,jeune_plant,8.3,0,0,jaune,stress_leger,bon
2025-04-09,39,27.0,20.6,95.0,57.9,7.05,7.9,0.0,2.18,croissance,78.3,0,0,vert,bon,bon
2025-06-11,102,21.0,19.4,78.1,67.4,6.58,10.7,2.9,2.67,fructification,119.9,13,10,vert,bon,bon
2025-03-02,1,25.2,21.5,89.5,42.8,6.65,8.5,0.1,2.94,semis,4.4,0,0,vert,bon,bon
2025-05-17,77,19.0,16.5,83.3,70.4,6.44,11.5,6.3,1.29,floraison,112.1,5,1,vert,bon,bon
2025-07-22,143,28.7,29.1,34.7,76.1,7.61,12.2,1.8,0.54,recolte,147.0,7,23,tachete,stress_leger,sol_pas_adapte
2025-03-10,9,26.9,24.4,30.0,90.0,5.81,6.7,2.3,2.02,semis,6.6,0,0,tachete,stress_leger,trop_eau
2025-07-02,123,28.6,26.7,78.7,57.6,5.91,13.1,0.0,1.7,recolte,115.6,5,38,jaune,bon,recolte_bientot
2025-06-26,117,17.1,13.4,67.7,80.9,6.96,6.9,1.0,1.53,fructification,88.5,12,9,jaune,stress_leger,trop_eau
2025-07-20,141,19.1,15.8,56.5,67.9,6.43,11.6,0.0,2.54,recolte,129.9,4,19,vert,bon,recolte_bientot
2025-07-20,141,28.0,26.6,60.7,66.0,6.75,7.4,5.5,2.75,recolte,128.3,1,36,fonce,bon,recolte_bientot
2025-04-20,50,25.5,24.1,80.4,68.5,6.22,10.9,0.5,1.09,croissance,72.8,0,0,vert,bon,bon
2025-04-07,37,28.1,28.6,41.9,64.0,7.23,6.6,13.2,0.0,croissance,32.5,4,0,jaune,stress_leger,manque_lumiere
2025-07-04,125,26.9,26.5,69.5,52.0,5.69,11.1,0.0,0.71,recolte,171.5,2,18,vert,stress_leger,recolte_bientot
2025-07-02,123,27.8,23.5,83.6,56.8,6.24,10.4,0.9,1.98,recolte,154.4,3,38,vert,bon,recolte_bientot
2025-05-26,86,25.5,26.4,61.1,85.9,6.55,8.6,0.6,2.23,fructification,94.1,11,18,jaune,stress_leger,trop_eau
2025-07-15,136,19.3,15.2,66.1,71.7,6.54,12.5,0.3,2.39,recolte,110.2,7,21,fonce,bon,recolte_bientot
2025-07-21,142,20.5,17.9,47.6,36.9,5.89,8.6,5.2,2.84,recolte,175.4,1,32,vert,stress_leger,recolte_bientot
2025-07-22,143,22.4,20.3,78.8,55.6,6.63,10.6,1.1,0.7,recolte,132.2,1,36,jaune,bon,recolte_bientot
2025-03-21,20,25.6,23.7,54.2,90.0,6.96,6.8,0.0,2.75,jeune_plant,22.1,0,0,tachete,stress_leger,trop_eau
2025-07-13,134,20.1,16.7,72.6,60.8,5.6,8.7,1.7,0.76,recolte,151.3,4,20,jaune,stress_leger,recolte_bientot
2025-04-30,60,15.4,11.1,45.0,64.2,6.46,7.0,2.9,1.24,floraison,85.8,13,2,vert,bon,bon
2025-06-24,115,24.7,21.4,87.8,80.2,6.13,8.5,0.0,0.93,fructification,125.9,7,9,tachete,stress_leger,trop_eau
2025-05-02,62,15.6,15.7,35.8,90.0,6.3,7.7,0.9,0.83,floraison,85.1,10,2,tachete,stress_leger,trop_eau
2025-06-29,120,14.6,12.9,64.8,68.7,6.56,8.1,5.6,0.75,recolte,139.1,3,11,tachete,stress_leger,risque_froid
2025-04-12,42,23.4,21.7,82.1,43.2,5.7,9.2,0.1,2.75,croissance,50.4,2,0,jaune,stress_leger,arroser
2025-05-19,79,21.4,20.8,64.5,63.9,6.9,12.5,0.3,0.59,floraison,90.5,12,1,jaune,bon,bon
2025-07-22,143,16.6,11.9,83.8,62.8,6.44,8.6,0.0,1.79,recolte,171.9,7,17,jaune,bon,recolte_bientot
2025-04-19,49,17.7,14.4,79.4,59.2,6.11,9.3,0.4,1.72,croissance,75.6,3,0,vert,bon,bon
2025-03-18,17,16.8,11.8,95.0,43.5,6.39,9.4,3.1,1.21,jeune_plant,21.9,0,0,vert,bon,bon
2025-03-19,18,15.8,14.7,45.6,63.5,6.43,9.3,0.9,1.85,jeune_plant,20.4,0,0,vert,bon,bon
2025-03-28,27,21.9,20.7,58.6,45.9,7.24,9.0,2.8,0.76,jeune_plant,10.6,0,0,vert,stress_leger,bon
2025-03-26,25,18.9,17.6,61.2,59.7,6.91,8.1,0.3,1.5,jeune_plant,21.6,0,0,vert,bon,bon
2025-07-07,128,24.2,23.9,50.2,82.3,7.32,15.0,5.5,2.58,recolte,100.9,0,11,tachete,stress_leger,trop_eau
2025-07-23,144,19.7,16.5,52.7,28.6,6.79,10.7,1.5,3.24,recolte,155.6,4,19,jaune,stress_leger,arroser
2025-04-27,57,14.8,10.3,65.4,76.1,6.23,10.6,0.0,2.26,croissance,27.9,1,0,tachete,stress_leger,risque_froid
2025-04-30,60,27.5,23.3,71.8,47.7,6.78,9.0,1.4,0.81,floraison,104.1,5,1,vert,bon,bon
2025-04-17,47,16.9,17.7,83.3,68.7,6.39,8.1,1.5,1.93,croissance,57.3,0,0,jaune,bon,bon
2025-03-04,3,19.4,18.5,36.6,62.6,7.02,9.6,0.6,2.51,semis,4.7,0,0,vert,bon,bon
2025-03-05,4,22.5,20.7,58.0,54.8,6.86,9.7,0.0,1.21,semis,2.3,0,0,vert,bon,bon
2025-03-15,14,17.8,14.4,60.4,83.5,6.24,10.0,0.0,2.77,semis,2.8,0,0,jaune,stress_leger,trop_eau
2025-03-08,7,21.2,18.9,70.3,85.3,7.08,9.2,2.9,1.74,semis,7.9,0,0,tachete,stress_leger,trop_eau
2025-04-19,49,24.3,22.3,40.8,77.5,6.13,8.4,2.5,1.81,croissance,31.3,1,0,vert,bon,bon
2025-05-26,86,32.9,32.0,73.3,53.5,5.95,9.6,0.7,0.74,fructification,140.3,4,9,fonce,stress_leger,risque_chaleur
2025-04-08,38,21.1,21.1,55.3,48.0,6.26,8.1,2.2,1.01,croissance,73.3,3,0,vert,bon,bon
2025-04-28,58,23.8,24.2,51.7,61.7,5.86,8.2,4.8,1.43,croissance,49.8,2,0,vert,bon,bon
2025-04-21,51,19.4,16.6,61.1,49.1,6.09,11.9,3.1,0.99,croissance,74.3,1,0,vert,bon,bon
2025-03-13,12,23.9,20.2,76.8,55.9,6.51,7.4,0.1,1.41,semis,6.4,0,0,vert,bon,bon
2025-06-19,110,22.1,22.2,63.8,66.8,5.97,10.9,1.7,0.91,fructification,80.9,10,5,vert,bon,bon
2025-07-05,126,23.5,21.4,46.1,44.9,6.64,11.5,0.9,2.55,recolte,170.4,5,35,vert,bon,recolte_bientot
2025-04-04,34,18.7,13.6,76.5,78.9,5.74,12.5,1.9,2.95,croissance,59.9,3,0,vert,stress_leger,bon
2025-04-17,47,23.4,21.0,73.8,52.9,6.94,7.3,2.2,1.26,croissance,36.7,2,0,vert,bon,bon
2025-07-21,142,21.0,19.5,69.2,71.2,6.31,7.7,0.8,1.45,recolte,110.3,2,39,fonce,bon,recolte_bientot
2025-05-24,84,21.8,19.3,70.8,49.6,6.92,11.0,2.9,1.9,fructification,124.0,10,21,vert,bon,bon
2025-05-01,61,21.4,19.1,66.3,51.3,6.91,8.9,0.0,1.07,floraison,103.8,13,2,vert,bon,bon
2025-06-14,105,16.0,12.1,83.6,61.7,6.22,6.6,0.0,2.47,fructification,120.1,6,7,vert,bon,bon
2025-07-16,137,26.9,25.6,67.8,75.0,5.15,11.4,1.7,2.43,recolte,148.2,1,29,tachete,stress_leger,sol_pas_adapte
2025-04-21,51,29.2,26.8,86.0,76.6,6.32,9.0,10.6,0.0,croissance,39.4,1,0,jaune,bon,bon
2025-05-12,72,18.9,17.2,53.9,40.2,6.19,9.9,0.0,1.19,floraison,118.3,17,0,vert,bon,bon
2025-05-24,84,22.4,18.2,60.4,48.7,6.66,12.7,1.0,2.83,fructification,107.8,6,19,vert,bon,bon
2025-04-21,51,23.0,22.5,64.0,51.1,7.24,8.6,3.3,1.15,croissance,62.1,0,0,jaune,stress_leger,bon
2025-03-09,8,26.1,24.9,77.3,41.9,6.79,12.2,0.0,1.99,semis,5.3,0,0,vert,bon,bon
2025-07-22,143,19.4,19.6,85.0,79.9,6.62,11.8,0.4,0.79,recolte,112.3,2,29,jaune,bon,recolte_bientot
2025-06-26,117,16.3,14.4,64.5,56.9,6.44,6.2,0.1,0.81,fructification,119.1,10,8,vert,bon,bon
2025-07-25,146,18.3,16.1,81.8,62.0,5.8,10.9,1.8,1.95,recolte,160.7,6,17,fonce,stress_leger,recolte_bientot
2025-04-27,57,21.6,19.1,86.0,90.0,6.72,7.9,0.0,2.4,croissance,77.1,2,0,tachete,stress_leger,trop_eau
